seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price,default_final
9,rent,60,30,married,no,freelance,73,129.0,0.0,0.0,800,846,0
17,rent,60,58,other,no,fixed,48,131.0,0.0,0.0,1000,1658,0
10,owner,36,46,married,yes,freelance,90,200.0,3000.0,0.0,2000,2985,1
0,rent,60,24,single,no,fixed,63,182.0,2500.0,0.0,900,1325,0
0,rent,36,26,single,no,fixed,46,107.0,0.0,0.0,310,910,0
1,owner,60,36,married,no,fixed,75,214.0,3500.0,0.0,650,1645,0
29,owner,60,44,married,no,fixed,75,125.0,10000.0,0.0,1600,1800,0
9,other,12,27,single,no,fixed,35,80.0,0.0,0.0,200,1093,0
0,owner,60,32,married,no,freelance,90,107.0,15000.0,0.0,1200,1957,0
0,other,48,41,married,no,partime,90,80.0,0.0,0.0,1200,1468,1
6,owner,48,34,married,no,freelance,60,125.0,4000.0,0.0,1150,1577,0
7,owner,36,29,married,no,fixed,60,121.0,3000.0,0.0,650,915,0
8,owner,60,30,married,no,fixed,75,199.0,5000.0,2500.0,1500,1650,0
19,owner,36,37,married,no,fixed,75,170.0,3500.0,260.0,600,940,0
0,other,18,21,single,yes,partime,35,50.0,0.0,0.0,400,500,1
0,owner,24,68,married,no,fixed,75,131.0,4162.0,0.0,900,1186,0
15,owner,24,52,single,no,freelance,35,298.0,16500.0,0.0,1500,2201,0
33,rent,24,68,married,no,freelance,65,200.0,5000.0,2000.0,600,1350,0
0,other,48,36,married,no,partime,45,130.0,750.0,0.0,1100,1511,1
1,other,60,31,single,no,fixed,35,137.0,0.0,0.0,1250,1253,0
2,rent,60,25,single,no,fixed,46,107.0,0.0,0.0,1500,2189,1
5,owner,60,22,single,no,fixed,45,298.0,10000.0,0.0,1100,1159,0
1,owner,60,45,married,no,partime,105,112.0,2000.0,500.0,600,1332,1
27,rent,60,41,married,no,fixed,74,140.0,0.0,0.0,950,1497,0
26,owner,60,51,married,no,fixed,45,143.0,3500.0,0.0,1350,1357,0
12,owner,36,54,married,no,fixed,60,130.0,4000.0,0.0,700,2100,0
19,owner,60,43,single,no,fixed,75,180.0,4000.0,0.0,1000,1070,0
15,owner,36,43,married,no,fixed,75,251.0,4000.0,0.0,1800,2557,0
3,owner,24,23,married,no,fixed,75,85.0,5000.0,0.0,600,1600,1
4,owner,48,29,married,no,fixed,45,150.0,5000.0,2500.0,1100,1312,0
0,owner,36,23,single,no,partime,45,122.0,2500.0,0.0,400,400,1
14,owner,24,51,married,no,partime,75,198.0,1000.0,0.0,450,650,0
10,owner,36,39,married,no,freelance,75,150.0,3000.0,0.0,1000,1394,0
12,other,36,35,single,no,fixed,35,170.0,0.0,0.0,1100,1542,0
32,owner,24,62,married,no,freelance,45,119.0,8500.0,0.0,700,1200,0
10,owner,24,56,married,no,freelance,45,208.0,13500.0,0.0,500,1560,0
7,owner,48,32,married,no,fixed,75,115.0,3000.0,0.0,800,1200,0
1,rent,54,36,married,no,fixed,70,99.0,0.0,0.0,950,950,1
30,owner,60,64,married,no,fixed,45,120.0,14000.0,0.0,1125,1300,0
5,rent,48,31,single,no,fixed,44,90.0,0.0,0.0,1300,1700,1
24,owner,60,42,married,no,fixed,75,137.0,4000.0,0.0,900,1167,0
0,owner,60,61,other,no,other,35,230.0,20000.0,0.0,950,1150,0
0,owner,60,32,married,yes,fixed,45,142.0,7000.0,2500.0,1250,1566,1
2,owner,60,43,married,no,partime,75,71.0,3000.0,0.0,1500,1552,1
1,other,60,26,single,no,partime,35,120.0,0.0,0.0,1150,1300,0
1,owner,60,49,other,no,freelance,35,233.0,15900.0,2500.0,2100,2104,0
15,owner,36,47,married,no,fixed,75,289.0,3500.0,0.0,1500,2154,0
2,rent,36,27,other,no,fixed,48,128.0,0.0,0.0,450,545,1
25,owner,36,52,married,no,freelance,60,150.0,15000.0,0.0,750,1778,0
8,owner,60,28,married,no,fixed,60,145.0,4000.0,1000.0,1600,1718,0
5,owner,60,31,married,no,fixed,75,90.0,4000.0,0.0,900,1500,0
0,rent,60,32,married,no,fixed,105,298.0,0.0,0.0,1200,1274,0
5,owner,36,51,married,no,freelance,75,200.0,2100.0,1200.0,900,1015,0
3,other,12,37,married,no,freelance,60,150.0,500.0,0.0,500,1701,0
1,rent,48,29,married,yes,freelance,85,100.0,0.0,0.0,1000,1345,1
7,other,60,26,single,no,fixed,35,100.0,0.0,0.0,1000,1238,0
4,other,30,27,single,no,fixed,45,100.0,5000.0,0.0,500,1048,0
6,owner,24,63,married,no,fixed,60,155.0,4000.0,0.0,600,1048,0
14,owner,24,55,married,no,fixed,90,298.0,5000.0,0.0,800,1324,0
3,rent,60,28,married,no,fixed,70,245.0,0.0,0.0,1830,2201,0
8,rent,48,31,married,no,fixed,90,150.0,0.0,0.0,1100,1430,0
4,other,42,27,single,no,fixed,35,70.0,0.0,0.0,600,926,1
22,owner,24,40,married,no,fixed,75,190.0,3000.0,0.0,1000,1500,0
2,owner,36,35,married,no,fixed,75,152.0,3000.0,0.0,1000,1542,0
15,owner,60,43,married,no,fixed,75,126.0,3000.0,0.0,1350,1360,0
10,owner,18,34,married,no,freelance,75,181.0,4000.0,0.0,600,1000,0
4,owner,60,37,married,no,fixed,60,185.0,3000.0,0.0,1200,1564,0
9,owner,60,53,married,no,fixed,45,170.0,2500.0,0.0,850,1205,0
22,rent,60,46,married,no,fixed,93,176.0,7500.0,0.0,2000,2200,0
18,other,36,36,married,no,freelance,60,238.0,0.0,0.0,900,2214,0
1,owner,60,46,married,no,fixed,60,115.0,5500.0,800.0,1000,1137,0
14,owner,48,43,married,no,fixed,45,200.0,9000.0,0.0,600,1025,0
8,owner,36,31,married,yes,freelance,75,298.0,9000.0,2500.0,800,1593,0
5,owner,24,43,married,no,fixed,75,93.0,3000.0,0.0,700,1735,0
19,rent,60,38,married,no,fixed,86,108.0,0.0,0.0,1000,1132,0
14,owner,12,37,married,no,freelance,90,298.0,4000.0,0.0,500,1338,0
0,other,36,46,married,yes,other,45,45.0,0.0,0.0,900,1100,0
9,rent,36,55,married,no,fixed,70,250.0,20000.0,0.0,1750,2276,0
29,owner,48,56,married,no,fixed,45,100.0,3000.0,0.0,900,1360,0
10,owner,36,55,married,no,fixed,60,70.0,4000.0,0.0,1000,1436,0
10,other,36,52,married,no,fixed,60,150.0,0.0,0.0,550,612,0
1,owner,36,29,married,no,fixed,60,70.0,4500.0,0.0,850,1100,1
11,owner,60,39,other,yes,fixed,35,263.0,2500.0,0.0,1000,1300,0
10,owner,60,38,married,no,freelance,75,200.0,9000.0,0.0,1000,2089,0
5,owner,24,24,single,no,fixed,35,78.0,6000.0,2500.0,500,2262,0
10,rent,60,28,single,no,fixed,47,120.0,0.0,0.0,600,1054,0
27,owner,60,53,married,no,fixed,60,125.0,10000.0,0.0,1426,1426,0
0,rent,60,25,single,no,partime,40,50.0,0.0,0.0,1040,1048,1
25,rent,60,62,married,no,fixed,60,146.0,0.0,0.0,1000,1292,1
3,other,60,29,single,no,fixed,35,70.0,0.0,0.0,950,1177,0
9,other,60,32,single,yes,fixed,35,105.0,0.0,0.0,1490,1490,1
4,rent,36,21,married,no,freelance,101,298.0,6000.0,0.0,750,850,0
6,rent,36,38,married,no,freelance,95,298.0,20000.0,2500.0,800,1011,0
9,rent,48,56,married,no,freelance,140,298.0,0.0,0.0,1400,1571,0
3,owner,36,41,married,no,freelance,75,200.0,3000.0,0.0,1000,1000,0
22,other,36,46,married,no,fixed,45,138.0,0.0,0.0,250,270,1
3,owner,60,54,other,no,other,35,80.0,4000.0,0.0,950,1382,0
30,owner,36,51,married,no,freelance,120,208.0,15000.0,0.0,1500,1713,0
8,rent,60,52,married,no,fixed,89,137.0,4000.0,0.0,800,1086,0
